NAME,LUMG,P0,P1corr,EDOTcorr,B_S,ECut_HYB,TSband
J1811-2405,5.548466383785664e+33,0.00266,1.28961059006002e-20,2.705038294336911e+34,190841318.74366516,9.2,0.3011625111103058
J1816+4510,1.4880489006739657e+34,0.0031900001,4.3690688192348393e-20,5.313449193152848e+34,375125377.40794855,3.21,3.1146867275238037
B1820-30A,9.816206979122078e+34,0.005440004525102307,3.3718949685900916e-18,8.268676329220391e+35,4336372363.901028,4.49,2.3293349742889404
B1821-24A,7.729009454564676e+34,0.0030543158020746915,1.613932133429183e-18,2.2361616134322637e+36,2249989640.7489376,2.83,0.8941057324409485
J1843-1113,4.33473527794046e+33,0.00185,9.337038439121391e-21,5.821751962372565e+34,134544208.87714767,3.19,1.8419828414916992
J1858-2216,1.1599688371114833e+33,0.00238,3.503710708199153e-21,1.0260230229250255e+34,97108481.93131186,1.94,0.3340999186038971
J1902-5105,7.61536396364839e+33,0.00174,8.582970105730252e-21,6.432052665662395e+34,126621974.88497244,3.69,3.6737849712371826
J1903-7051,5.46345171093343e+32,0.0035999999,7.917898186827291e-21,6.699805324442616e+33,195585109.26685223,2.47,0.462654173374176
J1908+2105,3.9513066910150873e+33,0.0025599999,1.3140107579131325e-20,3.0919952104462715e+34,190391719.16038412,5.12,1.4601603746414185
J1921+0137,3.351188992934415e+34,0.0024999999,1.9024243262365835e-20,4.806701505562951e+34,219215903.1850557,4.3,1.9436088800430298
J1921+1929,2.4760149653093433e+33,0.0026499999,3.6500020979203576e-20,7.743107310935675e+34,321919268.27795833,2.62,1.175169587135315
B1937+21,2.3303997406136335e+34,0.00156,1.0545821603417797e-19,1.0966457554724825e+36,409720647.54530436,3.21,1.1769330501556396
B1957+20,3.02460659574543e+33,0.00161,1.2353282389305904e-20,1.1685962218924935e+35,166513394.25179088,2.14,2.5426886081695557
J2017+0603,8.344107714571106e+33,0.0029,8.51623475571122e-21,1.3785209401890626e+34,156982502.88634783,3.85,2.509938955307007
J2039-3616,1.327546383457035e+33,0.00327,6.339301186331251e-21,7.157442450345917e+33,167959688.19784197,2.41,1.535220742225647
J2039-5617,5.212917662417537e+33,0.0026499999,1.1965895729757438e-20,2.5384427795197516e+34,196027833.7662141,4.41,6.437958717346191
J2042+0246,2.855747040565241e+32,0.00453,1.4068075392096926e-20,5.974475957126945e+33,255892697.12157714,1.08,2.6685123443603516
J2043+1711,6.569539756391879e+33,0.00238,4.802836320215422e-21,1.4064576245834943e+34,117852584.30632819,3.86,5.299173355102539
J2047+1053,3.9810932649201953e+33,0.0042900001,1.3668704432261766e-20,6.83463273533748e+33,303704692.68456185,6.15,0.2772585451602936
J2051-0827,6.4614397379222255e+32,0.0045099999,1.2773326841714253e-20,5.497106676549014e+33,242497269.07577997,1.81,0.0
J2052+1219,1.6971129362281428e+34,0.00199,2.0865994492689277e-21,1.045296739895799e+34,116983240.35258882,7.4,1.8826857805252075
J2115+5448,8.099913490024349e+33,0.0026100001,2.929439531966077e-20,6.504631571273216e+34,304806086.29234284,2.41,0.5972563028335571
J2124-3358,7.798072008757191e+32,0.0049299998,7.56834255544917e-21,2.493559941341601e+33,322219939.77934396,1.79,3.5304296016693115
J2129-0429,2.730481935630523e+33,0.0076100002,2.3008725944196404e-19,2.06109639378853e+34,1358875632.933163,2.72,2.059312105178833
J2205+6012,5.601005665335298e+33,0.00241,1.9918479659707e-20,5.617780877412596e+34,220993882.9321683,0.88,0.0
J2214+3000,1.406235279075255e+33,0.00312,1.3258995275000539e-20,1.7234812797144504e+34,218895145.63754547,2.07,7.264474868774414
J2215+5135,1.525518176358037e+34,0.0026100001,2.375455476643766e-20,5.274545700952135e+34,249995704.75120497,4.55,3.941066265106201
J2234+0944,5.945084840634407e+32,0.0036299999,1.3427052757404004e-20,1.108206244140999e+34,270172200.937259,3.01,1.4028818607330322
J2241-5236,3.251661730470283e+33,0.0021899999,6.992491103870967e-21,2.6282058292300137e+34,139667345.07342228,1.93,2.0448484420776367
J2256-1024,4.245621824035438e+33,0.00229,1.1636377073066388e-20,3.8253491071753443e+34,163153268.39460778,2.58,3.812495708465576
J2302+4442,3.471646066794951e+33,0.0051899999,1.3354522327939388e-20,3.771256283802209e+33,265841451.27208453,3.02,6.428962230682373
J2317+1439,2.1349279990489066e+32,0.00345,3.001199940185402e-21,2.885342552022912e+33,92653863.76278442,0.32,0.0
J2339-0533,5.901209906994941e+33,0.00288,1.3642304015382928e-20,2.254602565707357e+34,203855932.51657006,4.03,9.525035858154297
